feature_id	kind	vendor_evidence	provider	vendor_disable	target_config	target_dt	target_artifact	test_id
config:CONFIG_842_COMPRESS	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_842_COMPRESS"]	mainline	["CONFIG_842_COMPRESS=n"]	["CONFIG_842_COMPRESS=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_842_DECOMPRESS	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_842_DECOMPRESS"]	mainline	["CONFIG_842_DECOMPRESS=n"]	["CONFIG_842_DECOMPRESS=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ACTUATOR	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ACTUATOR"]	mainline	["CONFIG_ACTUATOR=n"]	["CONFIG_ACTUATOR=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ACTUATOR_CN3927	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ACTUATOR_CN3927"]	mainline	["CONFIG_ACTUATOR_CN3927=n"]	["CONFIG_ACTUATOR_CN3927=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_AIC_IRQ_ACTIVE_UNSET	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_AIC_IRQ_ACTIVE_UNSET"]	mainline	["CONFIG_AIC_IRQ_ACTIVE_UNSET=n"]	["CONFIG_AIC_IRQ_ACTIVE_UNSET=n"]	[]	[]	["wifi-bluetooth.sh"]
config:CONFIG_ANDROID_BINDERFS	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ANDROID_BINDERFS"]	mainline	["CONFIG_ANDROID_BINDERFS=n"]	["CONFIG_ANDROID_BINDERFS=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ANDROID_BINDER_IPC	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ANDROID_BINDER_IPC"]	mainline	["CONFIG_ANDROID_BINDER_IPC=n"]	["CONFIG_ANDROID_BINDER_IPC=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_CORRECT_STACKTRACE_ON_KRETPROBE	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_CORRECT_STACKTRACE_ON_KRETPROBE"]	mainline	["CONFIG_ARCH_CORRECT_STACKTRACE_ON_KRETPROBE=n"]	["CONFIG_ARCH_CORRECT_STACKTRACE_ON_KRETPROBE=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_ENABLE_MEMORY_HOTREMOVE	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_ENABLE_MEMORY_HOTREMOVE"]	mainline	["CONFIG_ARCH_ENABLE_MEMORY_HOTREMOVE=n"]	["CONFIG_ARCH_ENABLE_MEMORY_HOTREMOVE=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_HAS_PTE_DEVMAP	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_HAS_PTE_DEVMAP"]	mainline	["CONFIG_ARCH_HAS_PTE_DEVMAP=n"]	["CONFIG_ARCH_HAS_PTE_DEVMAP=n"]	[]	[]	["board-io-security.sh"]
